@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
230,'2020/01/07 23:14:40:295',4,358.592499,25.763815,265.521545,402.100403,1,?,?,?
231,'2020/01/07 23:14:40:356',4,358.786591,25.781303,265.442993,401.612122,1,?,?,?
232,'2020/01/07 23:14:40:445',4,358.948029,25.808323,265.38443,401.285614,1,?,?,?
233,'2020/01/07 23:14:40:496',4,359.082306,25.835415,265.306488,401.032074,1,?,?,?
234,'2020/01/07 23:14:40:545',4,359.103607,25.860243,265.346283,400.893555,1,?,?,?
235,'2020/01/07 23:14:40:607',4,359.111481,25.773991,265.419647,401.167297,1,?,?,?
236,'2020/01/07 23:14:40:695',4,359.130859,25.713547,265.499481,401.091278,1,?,?,?
237,'2020/01/07 23:14:40:745',4,359.291199,25.768116,265.430298,400.738129,1,?,?,?
238,'2020/01/07 23:14:51:895',5,409.640442,28.933607,222.751129,392.910187,0.958864,?,?,?
239,'2020/01/07 23:14:51:952',5,409.848053,28.711224,222.705887,393.576813,0.958864,?,?,?
240,'2020/01/07 23:14:52:007',5,409.907776,28.742899,222.825943,394.219238,0.958864,?,?,?
241,'2020/01/07 23:14:52:059',5,409.9953,28.629702,222.814743,394.752411,0.958864,?,?,?
242,'2020/01/07 23:14:52:145',5,410.069733,28.559416,222.753952,394.978912,0.958864,?,?,?
243,'2020/01/07 23:14:52:195',5,410.144165,28.489132,222.693161,395.205444,0.958864,?,?,?
244,'2020/01/07 23:14:52:245',5,410.228821,28.291155,222.58046,395.26474,0.958864,?,?,?
245,'2020/01/07 23:14:52:302',5,410.33078,28.132391,222.453796,395.074371,0.958864,?,?,?
246,'2020/01/07 23:14:52:395',5,410.448334,27.980152,222.329758,394.966278,0.958864,?,?,?
247,'2020/01/07 23:14:52:445',5,410.565887,27.827913,222.205719,394.858154,0.958864,?,?,?
248,'2020/01/07 23:14:52:495',5,410.660767,27.661617,222.109833,394.762085,0.958864,?,?,?
249,'2020/01/07 23:14:52:545',5,410.785889,27.626341,221.968781,394.801239,0.958864,?,?,?
250,'2020/01/07 23:14:52:602',5,410.931183,27.598284,221.805298,394.912598,0.958864,?,?,?
251,'2020/01/07 23:14:52:659',5,411.005188,27.534733,221.72641,394.886292,0.958864,?,?,?
252,'2020/01/07 23:14:52:745',5,411.07663,27.633142,221.685104,394.902649,0.958864,?,?,?
253,'2020/01/07 23:14:52:795',5,411.235291,27.620567,221.541595,394.875793,0.958864,?,?,?
254,'2020/01/07 23:14:52:848',5,411.206757,27.707621,221.587952,394.724457,0.958864,?,?,?
255,'2020/01/07 23:14:52:945',5,411.178223,27.794674,221.634308,394.57312,0.958864,?,?,?
256,'2020/01/07 23:14:52:995',5,411.25293,27.896523,221.53183,394.435303,0.958864,?,?,?
257,'2020/01/07 23:14:53:044',5,411.243988,28.024246,221.577942,394.074066,0.958864,?,?,?
258,'2020/01/07 23:14:53:094',5,411.313904,28.110748,221.501755,393.611389,0.958864,?,?,?
259,'2020/01/07 23:14:53:145',5,411.38382,28.19725,221.425568,393.148712,0.958864,?,?,?
260,'2020/01/07 23:14:53:203',5,411.532898,28.041847,221.256607,392.9216,0.958864,?,?,?
261,'2020/01/07 23:14:53:294',5,411.646332,28.13401,221.146759,392.951996,0.958864,?,?,?
262,'2020/01/07 23:14:53:344',5,411.638885,28.215103,221.156387,393.095978,0.958864,?,?,?
263,'2020/01/07 23:14:53:394',5,411.63147,28.296196,221.166016,393.23999,0.958864,?,?,?
264,'2020/01/07 23:14:53:444',5,411.651703,28.538528,221.143555,393.415558,0.958864,?,?,?
265,'2020/01/07 23:14:53:496',5,411.54541,28.670454,221.292465,393.457397,0.958864,?,?,?
266,'2020/01/07 23:14:53:557',5,411.461365,28.69153,221.39946,393.35434,0.958864,?,?,?
267,'2020/01/07 23:14:53:645',5,411.377319,28.712608,221.506454,393.251282,0.958864,?,?,?
268,'2020/01/07 23:14:53:695',5,411.331085,28.780117,221.552673,393.234375,0.958864,?,?,?
